,id,label
0,stop_area:OCE:SA:87110288, (Joué-lès-Tours)
1,stop_area:OCE:SA:87279166, (Niherne)
2,stop_area:OCE:SA:87286740, (Tressin)
3,stop_area:OCE:SA:87286781, (Cysoing)
4,stop_area:OCE:SA:87286807, (Genech)
5,stop_area:OCE:SA:87287219, (Anstaing)
6,stop_area:OCE:SA:87287235, (Cysoing)
7,stop_area:OCE:SA:87287243, (Genech)
8,stop_area:OCE:SA:87644112, (Courçay)
9,stop_area:OCE:SA:87689737, (Tours)
10,stop_area:OCE:SA:87699298,
11,stop_area:OCE:SA:00,.
12,stop_area:OCE:SA:80153452,Aachen/Aix la Chapelle (Aachen)
13,stop_area:OCE:SA:87313759,Abancourt (Abancourt)
14,stop_area:OCE:SA:87481614,Abbaretz (Abbaretz)
15,stop_area:OCE:SA:87317362,Abbeville (Abbeville)
16,stop_area:OCE:SA:87545269,Ablon (Ablon-sur-Seine)
17,stop_area:OCE:SA:87191403,Aboncourt (Aboncourt)
18,stop_area:OCE:SA:87721944,Abrest Mairie (Abrest)
19,stop_area:OCE:SA:87677252,Accolay-Le-Pont (Deux Rivières)
20,stop_area:OCE:SA:87386052,Achères-Grand-Cormier (Saint-Germain-en-Laye)
21,stop_area:OCE:SA:87381657,Achères-Ville (Achères)
22,stop_area:OCE:SA:87342048,Achiet (Achiet-le-Grand)
23,stop_area:OCE:SA:87658856,Adamswiller Lot. forêt. (Adamswiller)
24,stop_area:OCE:SA:87658922,Adamswiller-(Mairie). (Adamswiller)
